en,ko
"Last night, all I think about is you","어젯밤, 내가 생각한 건 너뿐"
The thoughts and the words of every man you'll need,네가 필요로 할 모든 사람들의 생각과 말
"Interior pink, color coordinated","안쪽은 분홍색, 색깔이 맞춰져 있어"
We're just lost in the night,우린 그냥 밤 속에 길을 잃었어
"And I'ma fuck the pain away, and I know I'll be okay","그리고 난 고통을 섹스로 잊을 거야, 그리고 괜찮아질 거라는 걸 알아"
"My body fails, I'm on my knees, praying","내 몸은 무너지고, 무릎 꿇고 기도해"
And this has never felt so right,그리고 이 감정은 한 번도 이렇게 완벽하게 느껴진 적 없었어
I've been thinking about you girl lately,요즘 네 생각만 하고 있어
Mainly my aim is to give you this love,내 목표는 네게 이 사랑을 주는 거야
"All you had to do was (stay, stay, stay, stay, stay)","네가 해야 했던 건 (머무는 것뿐, 머무는 것뿐, 머무는 것뿐, 머무는 것뿐, 머무는 것뿐)"
Green lights forever,초록 불빛은 영원해
Tonight I wanna show you off,오늘 밤 널 자랑하고 싶어
And to experience it again,그리고 다시 그걸 느끼고 있어
"Drive it, clean it, lights out, bleed it, spend the lasto","운전해, 청소해, 불을 꺼, 흘려, 마지막을 써"
Dance,춤춰
And you believe in us,그리고 너는 우리를 믿어
"Oh, and you see everything in red","오, 그리고 넌 모든 걸 빨갛게 봐"
"Learning on the low-key, shining",조용히 배우며 빛나고 있었어
Talk about highs and lows,높고 낮음에 대해 이야기해
And I keep hitting repeat-peat-peat-peat-peat-peat,그리고 난 계속 반복을 누르고 있어-피트-피트-피트-피트-피트
"And my mommy, she can't put down the phone",엄마는 전화를 내려놓지 못해
You said that you'd never been,넌 한 번도 가본 적이 없다고 했지
If it's a seven-hour flight or a 45-minute drive,7시간 비행이든 45분 드라이브든
"Let me find out and see, coming over to me, yeah","와서 보여줘, 내게 와줘, 그래"
I'm wonderin,난 궁금해
Cause I'm a back door man,난 뒷문 남자니까
Tell me qui je suis,"말해줘, 내가 누구인지"
To one's town,그의 마을로
Running until there's nothing left,아무것도 남지 않을 때까지 달려
"Can you see me now, so proudly?","이제 보이니, 이렇게 당당히?"
"Yeah, I'm beautiful, but I must explain","응, 난 아름답지만 설명이 필요해"
"Thought I knew everything in life, yeah, that caught up to me later","인생 다 아는 줄 알았는데, 그게 나중에 날 덮쳤지"
I'll just do it like the boys say,난 그냥 남자애들 하듯 할 거야
"We're hand in hand, chest to chest, and now, we're face to face","우린 손을 잡고 가슴 맞대고, 이제 얼굴을 맞대고 있어"
"An afro, black boy with the gold teeth","아프로, 금니 낀 흑인 소년"
"I'm in love with Juda-as, Juda-as","난 유다와 사랑에 빠졌어, 유다야"
"Yeah, I always know the truth","그래, 난 항상 진실을 알아"
"My show packed, all the dimes there","내 공연장은 꽉 차, 모든 미녀들이 거기 있어"
"And it'll have been long enough, that we won't harp on",그리고 충분히 시간이 지나 우리가 집착하지 않게 되겠지
I can't pretend anymore,더는 가장할 수 없어
"But boy, I couldn't give it to you",하지만 난 널 줄 수 없었어
I am 'ma a make you shine bright like you're laying in the snow,"난 널 눈부시게 빛나게 할 거야, 마치 눈 속에 누운 것처럼"
"I want you, ooh, baby, all of the time","난 널 원해, 오, 베이비, 늘 원해"
I'ma leave the door open,난 문을 열어둘게
"Girl, what would you do?","소녀야, 넌 뭘 할 거야?"
Merry Christmas to you,메리 크리스마스 너에게
"Dancin' in circles, feels good to be lonely","원을 그리며 춤춰, 외로움이 좋아"
"I got a hold of you, oh, yeah, ooh, whoa","널 꽉 잡았어, 오, 그래, 오, 워"
"So let me go now (no, can't let you go)","그러니 이제 날 떠나줘 (아니, 널 보낼 수 없어)"
Some nights it all feels broken,어떤 밤은 모든 게 부서진 것 같아
Me jumpin' off of the roof is me just playin' it safe,내가 지붕에서 뛰어내리는 건 그냥 안전빵일 뿐이야
People try to tell me,사람들이 내게 말하려 해
"(So, put your hands up)","(자, 손을 들어)"
Leading us home,우릴 집으로 이끌며
I will never let you know (let you know),나는 절대 너에게 알리지 않을 거야 (알리지 않을 거야)
"Til it happens to you, you won't know",네게 일어나기 전까지 넌 알지 못할 거야
But all this driving is driving me crazy,하지만 이 모든 운전이 날 미치게 해
Said we've got together (good thing going),우린 함께 있다고 말했지 (좋은 걸 가지고 있어)
