en,ko
"Just say, say, say","그냥 말해, 말해, 말해"
"Him or me, be for real","그나 나, 진지하게 해"
You're not down with who I am,넌 내가 누구인지 이해하지 못해
You said you never met one girl who had,넌 그런 여자를 본 적 없다고 했지
"Now you're steppin' up, steppin' up, huh, huh","이제 네가 한 발짝 나아가네, 한 발짝 나아가네, 허, 허"
The shape of you was jagged and weak,네 형태는 들쭉날쭉하고 약했어
When you give me those ocean eyes,네가 그 바다 같은 눈으로 날 바라볼 때
"I'd tell her I loved her more, do more","그녀에게 더 사랑한다고 말할 걸, 더 많이 해줄 걸"
"I need somebody to heal, somebody to know","난 누군가에게 치유받고 싶고, 누군가를 알고 싶어"
"I ain't playing, that's hide and seek","난 장난 아니야, 그건 숨바꼭질이야"
But it's okay and it's okay,"하지만 괜찮아, 괜찮아"
That's how much I need you (I need you),그만큼 난 널 필요로 해 (널 필요로 해)
"Au revoir, thanks a lot","잘 있어, 고마워"
And all those conversations are the secrets that I keep,그리고 그 모든 대화들이 내가 간직한 비밀이야
"This world ain't for you, and I know for damn sure this world ain't for me","이 세상은 너에게 맞지 않아, 그리고 나는 확실히 이 세상은 나에게 맞지 않다는 걸 알아"
"Kodak, Kodak","코닥, 코닥"
"So baby, this is the perfect time","그러니 베이비, 지금이 완벽한 시간이야"
I guess what I'm tryin' to say is I need the deep end,내가 말하려는 건 깊은 곳이 필요하단 거야
Now you put the blame in reverse,이제 넌 내 인생의 책임을 역전시켰어
So gonna let the rain pour,그러니 비를 내리게 둘 거야
Cause I can see the sun light up the sky,왜냐하면 난 태양이 하늘을 밝히는 걸 볼 수 있으니까
You are the only one,넌 유일한 사람이야
I saw you,널 봤어
(Want your bad romance),(네 거친 사랑을 원해)
In this life of sin,이 죄의 삶에서
Stylin' out to the beat that you're freakin,네가 열광하는 비트에 맞춰 스타일링해
But you dream of some epiphany,하지만 어떤 깨달음을 꿈꾸지
Get out of control,통제에서 벗어나
Eyes full of stars,별로 가득한 눈동자
"Ooh-ooh, so hard to love (so hard)","오오, 사랑하기 너무 힘들어 (너무 힘들어)"
The wise men followed the star (the wise men followed the star),현명한 이들은 별을 따라갔지 (현명한 이들은 별을 따라갔지)
"Won't you come, it's emergency","어서 와, 긴급 상황이야"
You turned around and gave me one last touch,넌 돌아서서 나에게 마지막 터치를 남겼어
"My love, there's no need to hide","내 사랑아, 숨길 필요 없어"
But your eyes are flying saucers from another planet,네 눈은 다른 행성에서 날아온 비행접시 같아
There's so much more to live for,살아갈 이유는 훨씬 더 많아
"I'll always remember us this way, way, yeah","우린 항상 이렇게 서로를 기억할 거야, 그래"
There's more love if you follow emotions (emotions),감정을 따르면 더 많은 사랑이 있어 (감정)
